"","gyeongsang","seoul"
"350","사실 여행 갈 때 한 번에 가서 너무 오랫동안 여행을 해서","사실 여행 갈 때 한 번에 가서 너무 오랫동안 여행을 해서"
"351","저는 밥이 제일 먹고 싶었어요 그래서","저는 밥이 제일 먹고 싶었어요 그래서"
"352","기억에 남는 거는","기억에 남는 거는"
"353","라오스에서 먹은 한식당에서 먹은 -제육- 제육볶음이 제일 기억 남고","라오스에서 먹은 한식당에서 먹은 -제육- 제육볶음이 제일 기억 남고"
"354","소매치기하니까 제가 베트남에 갔을 때 그것 때문에 되게 예민했었거든요.","소매치기하니까 제가 베트남에 갔을 때 그것 때문에 되게 예민했었거든요."
"355","그래 갖고 워낙에 도로변이 좁고 오토바이 많다 보니까","그래 갖고 워낙에 도로변이 좁고 오토바이 많다 보니까"
"356","거기에 곤두서서 제대로 여행을 못 즐겼거든요.","거기에 곤두서서 제대로 여행을 못 즐겼거든요."
"357","그~ 그 생각이 나네요.","그~ 그 생각이 나네요."
"358","-일- 일본 갔을 땐 어땠어요 어디 갔었어요?","-일- 일본 갔을 땐 어땠어요 어디 갔었어요?"
"359","일본도 어릴 때 패키지로 갔는데","일본도 어릴 때 패키지로 갔는데"
"360","오사카를 갔어요.","오사카를 갔어요."
"361","가서 삼 박 사 일 동안 있었는데","가서 삼 박 사 일 동안 있었는데"
"362","거기서도 패키지니까 그냥 가이드 따라서 뭐~","거기서도 패키지니까 그냥 가이드 따라서 뭐~"
"363","금각사 은각사 이런 절 돌아다니고","금각사 은각사 이런 절 돌아다니고"
"364","유니버셜 스튜디오 가서 그냥 구경하고","유니버셜 스튜디오 가서 그냥 구경하고"
"365","안에서 피자 먹고 네 뭐~","안에서 피자 먹고 네 뭐~"
"366","놀이기구 타고 그렇게 -즐겼- 즐겼던 기억이 남아요.","놀이기구 타고 그렇게 -즐겼- 즐겼던 기억이 남아요."
"367","일본 가보신 적 있으세요?","일본 가보신 적 있으세요?"
"368","저~ 일본 초등학생 때 그때 청소년 단체 그~ 아람단 그거 했었거든요.","저~ 일본 초등학생 때 그때 청소년 단체 그~ 아람단 그거 했었거든요."
"369","그래서 그걸로 홈스테이?","그래서 그걸로 홈스테이?"
"370","해서 후쿠오카 가서 며칠 지내보고","해서 후쿠오카 가서 며칠 지내보고"
"371","그리고 일본인 친구가 우리 집에 와서","그리고 일본인 친구가 우리 집에 와서"
"372","며칠 있다가 이렇게 왔다 갔다 하는 형식으로","며칠 있다가 이렇게 왔다 갔다 하는 형식으로"
"373","고렇게 한 번 갔다 왔었어요.","고렇게 한 번 갔다 왔었어요."
"374","그 뒤로는 가본 적 없고","그 뒤로는 가본 적 없고"
"375","음~ 한국에서 여행 제주도 말고 또 어디 가 봤어요?","음~ 한국에서 여행 제주도 말고 또 어디 가 봤어요?"
"376","어~ 경험했던 일?","어~ 경험했던 일?"
"377","이~ 저번주에 서울을 갔는데","이~ 지난주에 서울을 갔는데"
"378","서울 갔다가","서울 갔다가"
"379","경기도 광주에 가서","경기도 광주에 가서"
"380","둘 다 경주에 가서 화담숲 여행을 했던 기억이 남아요.","둘 다 경주에 가서 화담숲 여행을 했던 기억이 남아요."
"381","화장숲 여행","화장숲 여행"
"382","화담숲 여행이 기억에 남아요.","화담숲 여행이 기억에 남아요."
"383","가서 그기가 엘지 회장님?","가서 거기가 엘지 회장님?"
"384","이 뭐 만드신 정원이라고 들었는데","이 뭐 만드신 정원이라고 들었는데"
"385","그 크기가 되게 커서","그 크기가 되게 커서"
"386","걸어 다니면서","걸어 다니면서"
"387","뭐~ 숲 구경도 하고 그런 그랬는데","뭐~ 숲 구경도 하고 그런 그랬는데"
"388","나올 때는","나올 때는"
"389","세 시간 동안 숲만 보다 보니까 너무 배고파서","세 시간 동안 숲만 보다 보니까 너무 배고파서"
"390","빨리 여기 나가고 싶다 생각밖에 안 들었어요.","빨리 여기 나가고 싶다 생각밖에 안 들었어요."
"391","그리고 서울은 가서 서울도 가서 서울 숲을 구경했는데","그리고 서울은 가서 서울도 가서 서울 숲을 구경했는데"
"392","그기 뒤에 아파트가 있는데","거기 뒤에 아파트가 있는데"
"393","그 아파트가 몇십 억하는 건물이었는데","그 아파트가 몇십 억하는 건물이었는데"
"394","연예인이 산다는 얘기를 그때 듣고 아~","연예인이 산다는 얘기를 그때 듣고 아~"
"395","저 아파트 저렇게 비싼 아파트가 있구나 그 생각했습니다.","저 아파트 저렇게 비싼 아파트가 있구나 그 생각했습니다."
"396","우리나라에서는 어디 가 보셨어요?","우리나라에서는 어디 가 보셨어요?"
"397","음~ 저는 주로 우리나라에서 그냥 제주도?","음~ 저는 주로 우리나라에서 그냥 제주도?"
"398","경주?","경주?"
"399","뭐 서울?","뭐 서울?"
"400","그냥 어렸을 때 가족들이랑 놀러다닌 거","그냥 어렸을 때 가족들이랑 놀러다닌 거"
"401","그런 거 말고는 딱히 없는 거 같애요.","그런 거 말고는 딱히 없는 거 같애요."
"402","제주도에서 뭐 했어요 누구랑 갔어요?","제주도에서 뭐 했어요 누구랑 갔어요?"
"403","제주도 가족이랑 갔는데","제주도 가족이랑 갔는데"
"404","여러 번 갔어요.","여러 번 갔어요."
"405","두세 번 정도 갔는데","두세 번 정도 갔는데"
"406","제주도는","제주도는"
"407","부산 바다랑 또 색깔이 다르니까","부산 바다랑 또 색깔이 다르니까"
"408","또 그런 게 신기하고 기억에 많이 남는 거 같애요.","또 그런 게 신기하고 기억에 많이 남는 거 같애요."
"409","또 부산에서 먹는 해물","또 부산에서 먹는 해물"
"410","해산물 맛이랑 또 제주도 여행가서 먹는 해산물","해산물 맛이랑 또 제주도 여행가서 먹는 해산물"
"411","먹을 때 기분이 또 다르니까","먹을 때 기분이 또 다르니까"
"412","그게 또 기억에 많이 남는 거 같고","그게 또 기억에 많이 남는 거 같고"
"413","고기국수 먹어 봤는데","고기국수 먹어 봤는데"
"414","약간 부산에 돼지국밥에","약간 부산에 돼지국밥에"
"415","국수 넣은 듯한 그런 맛으로 기억에 남았습","국수 넣은 듯한 그런 맛으로 기억에 남았습"
"416","제주도에서 기억나는 곳이 있으세요?","제주도에서 기억나는 곳이 있으세요?"
"417","저는 제주도에 보통 혼자 갔었거든요?","저는 제주도에 보통 혼자 갔었거든요?"
"418","그래서 어~ 보통 제주에서 스쿠터 렌트해서 그냥 해변가 쪽으로 돌거나","그래서 어~ 보통 제주에서 스쿠터 렌트해서 그냥 해변가 쪽으로 돌거나"
"419","그리고 재작년에","그리고 재작년에"
"420","제주도에서 어떤 프로그램이라고 해서","제주도에서 어떤 프로그램이라고 해서"
"421","워킹 홀리데이?","워킹 홀리데이?"
"422","그런 게 있었어요.","그런 게 있었어요."
"423","그래서 이제 그게 제주 (()) 감귤 이제 분류하는 데 가서 일하면서","그래서 이제 그게 제주 (()) 감귤 이제 분류하는 데 가서 일하면서"
"424","이제 같이 모여서 놀고 하는 프로그램이 있었거든요.","이제 같이 모여서 놀고 하는 프로그램이 있었거든요."
"425","그거 하면서 이제 귤 분류하는 것도 해 보고","그거 하면서 이제 귤 분류하는 것도 해 보고"
"426","귤 포 귤 포장도 해 보고 그리고 애들이랑 여기저기 놀러다니면서","귤 포 귤 포장도 해 보고 그리고 애들이랑 여기저기 놀러다니면서"
"427","막 음~ 어디 그~ 관광지 이런 데도 가고","막 음~ 어디 그~ 관광지 이런 데도 가고"
"428","같이 맛있는 것도 먹으러 가고?","같이 맛있는 것도 먹으러 가고?"
"429","고렇게도 지냈고","고렇게도 지냈고"
"430","지금 (()) 코로나 때문에 잘 못 가는데 너무 가고 싶어 제주도","지금 (()) 코로나 때문에 잘 못 가는데 너무 가고 싶어 제주도"
"431","친구가 {laughing} 몇 주 전에 신혼여행으로 신 제주도 갔는데 너무 부러운 거예요.","친구가 {laughing} 몇 주 전에 신혼여행으로 신 제주도 갔는데 너무 부러운 거예요."
"432","{laughing} 가고 싶어서","{laughing} 가고 싶어서"
"433","음~ 음~ 음~ 제주도에서","음~ 음~ 음~ 제주도에서"
"434","혹시 뭐 스포츠 같 제주도에서 스쿠버 다이빙 이런 거 해봤어요?","혹시 뭐 스포츠 같 제주도에서 스쿠버 다이빙 이런 거 해봤어요?"
"435","아니요 저는 제주도에서 그냥 해변에서도 걷기만 했지","아니요 저는 제주도에서 그냥 해변에서도 걷기만 했지"
"436","그런 스포츠를 해 볼 거라고 생각을 못 했어.","그런 스포츠를 해 볼 거라고 생각을 못 했어."
"437","저는 제주도는 주로 자연 뭐~ 숲 이런 데 다니고","저는 제주도는 주로 자연 뭐~ 숲 이런 데 다니고"
"438","또 뭐 먹으러 다니고","또 뭐 먹으러 다니고"
"439","그냥 바다 보이는 카페에 가고 이런 것만 생각해 봤지","그냥 바다 보이는 카페에 가고 이런 것만 생각해 봤지"
"440","스포츠를 해 볼 거라 생각 안 했는데","스포츠를 해 볼 거라 생각 안 했는데"
"441","가서 하는 것도 되게 기억에 많이 남을 것 같애.","가서 하는 것도 되게 기억에 많이 남을 것 같애."
"442","혹시 혼자 여행 가본 적 있어요?","혹시 혼자 여행 가본 적 있어요?"
"443","혼자는 많이 가본 적은 없는데","혼자는 많이 가본 적은 없는데"
"444","대구 여행 때 혼자서 돌아다녀 본 적은 있어요.","대구 여행 때 혼자서 돌아다녀 본 적은 있어요."
"445","근데 혼자 여행하면","근데 혼자 여행하면"
"446","사진을 못 찍는 게 쫌 아쉽고","사진을 못 찍는 게 조금 아쉽고"
"447","또 이렇게 풍경이나 이런 걸 보면서 느꼈던 걸 말할 같이 나눌 사람이 없어서","또 이렇게 풍경이나 이런 걸 보면서 느꼈던 걸 말할 같이 나눌 사람이 없어서"
"448","그게 쫌 아쉬운데 또","그게 조금 아쉬운데 또"
"449","혼자 많이 생각해 볼 수 있으니까 그 점은 또 좋은 거","혼자 많이 생각해 볼 수 있으니까 그 점은 또 좋은 거"
"450","혼자 여행을 할 때 어떤 기분이 드세요?","혼자 여행을 할 때 어떤 기분이 드세요?"
"451","혼자 여행하는 거 즐기는 편인데","혼자 여행하는 거 즐기는 편인데"
"452","사실 혼자 하면 쪼금 심심하긴 하죠 그리고 특히 밥 먹을 때","사실 혼자 하면 쪼금 심심하긴 하죠 그리고 특히 밥 먹을 때"
"453","밥 먹을 때 보통 관광지 가면은 혼자서 밥 먹기 쫌 애매한 곳들 많잖아요 비싸거나 아님 쫌","밥 먹을 때 보통 관광지 가면은 혼자서 밥 먹기 조금 애매한 곳들 많잖아요 비싸거나 아님 조금"
"454","혼자 -오- 오는 걸 원치 않는 식당들도 많고","혼자 -오- 오는 걸 원치 않는 식당들도 많고"
"455","-그- 그럴 때 조금 어렵고","-그- 그럴 때 조금 어렵고"
"456","그리고 보통 혼자 여행 다니면서는 게스트 하우스에서 자기 때문에","그리고 보통 혼자 여행 다니면서는 게스트 하우스에서 자기 때문에"
"457","그냥 거기서 친구들 만나서","그냥 거기서 친구들 만나서"
"458","막 같이 뭐 밥 한 끼 하거나","막 같이 뭐 밥 한 끼 하거나"
"459","아니면 마음이 맞으면은 같이 하루 놀고","아니면 마음이 맞으면은 같이 하루 놀고"
"460","고렇게도 많이 하고","고렇게도 많이 하고"
"461","음~ 그리고 저는 왜냐면 갈수록 이제 애들이랑 시간 맞추기가 힘드니까","음~ 그리고 저는 왜냐면 갈수록 이제 애들이랑 시간 맞추기가 힘드니까"
"462","보통 그냥 혼자 많이 가요 음~ 그게 편해서","보통 그냥 혼자 많이 가요 음~ 그게 편해서"
"463","그리고 나 혼자만 신경쓰면 되니까","그리고 나 혼자만 신경쓰면 되니까"
"464","신혼 여행지로 가고 싶은 곳이 있으세요?","신혼 여행지로 가고 싶은 곳이 있으세요?"
"465","신혼 여행지로 가고 싶은 곳","신혼 여행지로 가고 싶은 곳"
"466","전혀 생각이 안 나는데","전혀 생각이 안 나는데"
"467","그냥 예전에 제 친구가 신혼여행으로 스페인 가고 싶다고 한 적 있거든요.","그냥 예전에 제 친구가 신혼여행으로 스페인 가고 싶다고 한 적 있거든요."
"468","그거 듣 그거 들어 보니까 저도","그거 듣 그거 들어 보니까 저도"
"469","그냥 이렇게","그냥 이렇게"
"470","휴양지 이런 데 말고","휴양지 이런 데 말고"
"471","약간 조금","약간 조금"
"472","어~ 걸어 다니면서 좀 (()) 이것저것 많이 구경할 수 있는","어~ 걸어 다니면서 좀 (()) 이것저것 많이 구경할 수 있는"
"473","음~ 그런 곳은 스페인 한번 가 보고 싶고","음~ 그런 곳은 스페인 한번 가 보고 싶고"
"474","뭐 있는지 잘 모르겠지만 뭔가 스페인하면 뭔가 좋아 보이는 음~","뭐 있는지 잘 모르겠지만 뭔가 스페인하면 뭔가 좋아 보이는 음~"
"475","혹시 신혼 여행지로 가고 싶은 곳 있으세요?","혹시 신혼 여행지로 가고 싶은 곳 있으세요?"
"476","저도 딱히 생각한 곳은 없는데","저도 딱히 생각한 곳은 없는데"
"477","갈 수 있다면","갈 수 있다면"
"478","최대한 먼 곳으로 가고 싶어요.","최대한 먼 곳으로 가고 싶어요."
"479","왜냐하면 그렇게 휴가를 낼 수 있는","왜냐하면 그렇게 휴가를 낼 수 있는"
"480","시간이 많이 없잖아요 그러니까","시간이 많이 없잖아요 그러니까"
"481","최대한 먼 곳으로 가서","최대한 먼 곳으로 가서"
"482","시간을 보내면 되게 의미있을 거 같고","시간을 보내면 되게 의미있을 거 같고"
"483","또 뭐~ 미국이나 이런 쪽은","또 뭐~ 미국이나 이런 쪽은"
"484","평소에는 잘 갈 수 없잖아요.","평소에는 잘 갈 수 없잖아요."
"485","휴가가 삼 박 사 일 이런 거는 뭐~","휴가가 삼 박 사 일 이런 거는 뭐~"
"486","갔다가 바로 와야 되는 것도 아니니까","갔다가 바로 와야 되는 것도 아니니까"
"487","그러니까 그런 데 먼 곳에 가서","그러니까 그런 데 먼 곳에 가서"
"488","가면 좋을 거 같고 저희 친척이","가면 좋을 거 같고 저희 친척이"
"489","영국으로 갔었는데","영국으로 갔었는데"
"490","가서 그~ 유럽 축구 리그 뭐 그런 걸 봤다는데 그런 거도 되게 기억에 많이 남을 거 같아요.","가서 그~ 유럽 축구 리그 뭐 그런 걸 봤다는데 그런 거도 되게 기억에 많이 남을 거 같아요."
"491","여행 가면 보통 어디서 묵어요?","여행 가면 보통 어디서 묵어요?"
"492","친구들이랑?","친구들이랑?"
"493","혹은 가족들은 보통 호텔이나 이런 데 묵을 거고","혹은 가족들은 보통 호텔이나 이런 데 묵을 거고"
"494","음~ 저는 주로 게스트 하우스에서 묵는 거 같아요 왜냐하면","음~ 저는 주로 게스트 하우스에서 묵는 거 같아요 왜냐하면"
"495","게스트 하우스가 저렴하고","게스트 하우스가 저렴하고"
"496","또 새로운 사람도 만날 수 있고","또 새로운 사람도 만날 수 있고"
"497","또 아침을 주는 곳도 많으니까 그냥","또 아침을 주는 곳도 많으니까 그냥"
"498","친구들이랑 다 놀고 오면","친구들이랑 다 놀고 오면"
"499","잔 다음에 아침에","잔 다음에 아침에"
"500","조식 먹고 또다시 나가서 놀러 가고 그런 게 편한 거 같아요.","조식 먹고 또다시 나가서 놀러 가고 그런 게 편한 거 같아요."
"501","그런데 저번에 가족이랑 게스트 하우스를 갔는데","그런데 저번에 가족이랑 게스트 하우스를 갔는데"
"502","가족은 약간 그 이층 침대를 불편해 하더라고요 그래서","가족은 약간 그 이층 침대를 불편해 하더라고요 그래서"
"503","아~ 가족이랑은 게스트 하우스 오는 게 아니구나","아~ 가족이랑은 게스트 하우스 오는 게 아니구나"
"504","그때 처음 느꼈습니다.","그때 처음 느꼈습니다."
"505","가족이랑 게스트 하우스 가자고 누가 먼저 제안했어요?","가족이랑 게스트 하우스 가자고 누가 먼저 제안했어요?"
"506","저희 동생이 제안했어요.","저희 동생이 제안했어요."
"507","주로 여행가면 어디서 묵으세요?","주로 여행가면 어디서 묵으세요?"
"508","음~ 저도 보통 게하에서 보통 자고","음~ 저도 보통 게하에서 보통 자고"
"509","진짜 몸이 안 좋으면은 여행하다가 그러면 좀 혼자 쉴 수 있는 데","진짜 몸이 안 좋으면은 여행하다가 그러면 좀 혼자 쉴 수 있는 데"
"510","보통 구하고 음~ 그렇게 했던 거 같애요.","보통 구하고 음~ 그렇게 했던 거 같애요."
"511","음~ 굳이 일단 비용적으로 저렴하니까 혼자 여행하고 할 때는","음~ 굳이 일단 비용적으로 저렴하니까 혼자 여행하고 할 때는"
"512","음~ 그리고 저는 게스트 하우스가 좋더라고요.","음~ 그리고 저는 게스트 하우스가 좋더라고요."
"513","뭔가 뭐라 할까?","뭔가 뭐라 할까?"
"514","쫌 물론 내 제가 게스트 하우스 가서 이렇게 막","조금 물론 내 제가 게스트 하우스 가서 이렇게 막"
"515","그런 거 있잖아요 막 만나서 술 마시고 막 이케","그런 거 있잖아요 막 만나서 술 마시고 막 이렇게"
"516","저녁에 어울려서 막 그런 자리는 저는 별로 안 좋아하는데","저녁에 어울려서 막 그런 자리는 저는 별로 안 좋아하는데"
"517","그냥 이케 한 명씩 이케 방에서 만나면은","그냥 이렇게 한 명씩 이렇게 방에서 만나면은"
"518","그 사람이랑 얘기하고","그 사람이랑 얘기하고"
"519","뭐 마음 맞으면 같이 밥도 먹고","뭐 마음 맞으면 같이 밥도 먹고"
"520","놀러도 가고?","놀러도 가고?"
"521","음~ 그런 게 새로운 이야기도 많이 듣고 왜냐하면 제 주위에 있는 사람들은 거의 저랑 비슷한 사람들이 많을 건데","음~ 그런 게 새로운 이야기도 많이 듣고 왜냐하면 제 주위에 있는 사람들은 거의 저랑 비슷한 사람들이 많을 건데"
"522","이제 새로 만나면은 저 제가 생각지도 못했던 직업이나 아니면 뭐 일을 했다던가","이제 새로 만나면은 저 제가 생각지도 못했던 직업이나 아니면 뭐 일을 했다던가"
"523","그런 경우도 많으니까 쫌 게스트 하우스 좋더라고요.","그런 경우도 많으니까 조금 게스트 하우스 좋더라고요."
"524","다음에 코로나 끝나면은 가고 싶은 여행지가 있어요?","다음에 코로나 끝나면은 가고 싶은 여행지가 있어요?"
"525","어디든 가고 싶은 거 같아요.","어디든 가고 싶은 거 같아요."
"526","코로나로 집에만 있으니까","코로나로 집에만 있으니까"
"527","집 안에서만 할 거는 한정돼 있으니까 여행을 가면","집 안에서만 할 거는 한정돼 있으니까 여행을 가면"
"528","일상에서 벗어나서","일상에서 벗어나서"
"529","여러가지를 할 수 있잖아요 그낭 먹는 것도 새롭고","여러가지를 할 수 있잖아요 그낭 먹는 것도 새롭고"
"530","자는 곳도 집 아니니까 새롭고","자는 곳도 집 아니니까 새롭고"
"531","보는 것도 평소에 보는 풍경 -아니- 아니다 보니까","보는 것도 평소에 보는 풍경 -아니- 아니다 보니까"
"532","어디를 가도 다 재밌을 거 같고 신기할 거 같애요.","어디를 가도 다 재밌을 거 같고 신기할 거 같애요."
"533","코로나 끝나면 가고 싶은 곳 있으세요?","코로나 끝나면 가고 싶은 곳 있으세요?"
"534","저는 그~ -일- 일단 원래 작년에 제가 십일월 달에","저는 그~ -일- 일단 원래 작년에 제가 십일월 달에"
"535","대만을 갈려고 했었어요.","대만을 갈려고 했었어요."
"536","가오슝?","가오슝?"
"537","거기","거기"
"538","진짜 급하게 친구 꼬셔 갖고 갈려고 했거든요.","진짜 급하게 친구 꼬셔 갖고 갈려고 했거든요."
"539","근데 제가 티켓도 끊고 숙박도 다 잡았는데","근데 제가 티켓도 끊고 숙박도 다 잡았는데"
"540","제가 갑자기 아픈 바람에","제가 갑자기 아픈 바람에"
"541","그~ 비행기 뜨는 날 수술을 해서 제가 못 갔어요 근데 그게","그~ 비행기 뜨는 날 수술을 해서 제가 못 갔어요 근데 그게"
"542","코로나 전에 마지막 여행이 될 줄은 누가 상상이나 했겠어.","코로나 전에 마지막 여행이 될 줄은 누가 상상이나 했겠어."
"543","거기 그래서 거기 한 번 다시 가 보고 싶고 그~ 저는 몽골도 가 보고 싶어요.","거기 그래서 거기 한 번 다시 가 보고 싶고 그~ 저는 몽골도 가 보고 싶어요."
"544","그~ 몽골에","그~ 몽골에"
"545","이케 진짜 완전 사막이나 이런 데서 뭐라 하죠 그 카라밴?","이렇게 진짜 완전 사막이나 이런 데서 뭐라 하죠 그 카라밴?"
"546","그런 거 타고 다니면서","그런 거 타고 다니면서"
"547","뭐 집 이름이 생각이 안 나는데 천막 치고 자거나","뭐 집 이름이 생각이 안 나는데 천막 치고 자거나"
"548","아니면 그렇게 다니는 거 한 뭐","아니면 그렇게 다니는 거 한 뭐"
"549","쫌 십 박 며칠 이런 이런 식으로 길게 다니는 거 그런 것도 해 보고 싶고","조금 십 박 며칠 이런 이런 식으로 길게 다니는 거 그런 것도 해 보고 싶고"
"550","그리고 예전에 베트남 갔을 때 제가 너무 상태가 안 좋아서","그리고 예전에 베트남 갔을 때 제가 너무 상태가 안 좋아서"
"551","좀 못 즐겼기 때문에 베트남도 다시 한번 싹 다 가 보고 싶고","좀 못 즐겼기 때문에 베트남도 다시 한번 싹 다 가 보고 싶고"
"552","그랬거든요.","그랬거든요."
"553","동아시아 쪽에 가고 싶은 곳이 어디 있어요?","동아시아 쪽에 가고 싶은 곳이 어디 있어요?"
"554","저도 몽골에 가고 싶어요.","저도 몽골에 가고 싶어요."
"555","몽골은 생각하면","몽골은 생각하면"
"556","평야가 넓고","평야가 넓고"
"557","동물들도 쫌 다를 것 같고 그래서","동물들도 조금 다를 것 같고 그래서"
"558","가면 되게 신기할 거 같고","가면 되게 신기할 거 같고"
"559","같은 아시아면서도 외모와 저희랑 쫌 다른 면이 있잖아요 그래서","같은 아시아면서도 외모와 저희랑 조금 다른 면이 있잖아요 그래서"
"560","다른 이습적인 느낌을 받을 수 있을 거 같애요.","다른 이습적인 느낌을 받을 수 있을 거 같애요."
"561","그리고 몽골에 유명한 곳이 어딘지는 모르지만","그리고 몽골에 유명한 곳이 어딘지는 모르지만"
"562","또 한국이랑 가까운 편이니까","또 한국이랑 가까운 편이니까"
"563","비행기도 있을 거 같고 가서","비행기도 있을 거 같고 가서"
"564","너무 낯설지 않는 느낌이 들 것 같아서","너무 낯설지 않는 느낌이 들 것 같아서"
"565","그게 오히려 장점이 될 수도 있을 거 같아요.","그게 오히려 장점이 될 수도 있을 거 같아요."
"566","몽골인이 한국인이랑 유전자가 비슷하다 했나?","몽골인이 한국인이랑 유전자가 비슷하다 했나?"
"567","그~ 약간 초반 초기?","그~ 약간 초반 초기?"
"568","아마 그게 비슷한 종족이라고 들은 것 같은데","아마 그게 비슷한 종족이라고 들은 것 같은데"
"569","몽골 만약에 갈 생각 있으면은 무슨 카페가 있어요 그래 거기서","몽골 만약에 갈 생각 있으면은 무슨 카페가 있어요 그래 거기서"
"570","그런 투어를 할 인원들을 구하거든요.","그런 투어를 할 인원들을 구하거든요."
"571","왜냐하면 인원이 모집이 돼야 그렇게 이제 투어를 갈 수가 있어요.","왜냐하면 인원이 모집이 돼야 그렇게 이제 투어를 갈 수가 있어요."
"572","다음에 그거 한 번 해봐 저 그냥 그때 가고 싶어서 찾아보기만 했는데","다음에 그거 한 번 해봐 저 그냥 그때 가고 싶어서 찾아보기만 했는데"
"573","가지는 못 했지만","가지는 못 했지만"
"574","음~ 그런 게 있더라고요.","음~ 그런 게 있더라고요."
"575","여행 계획을 철저하게 세우는 편이세요?","여행 계획을 철저하게 세우는 편이세요?"
"576","저는 보통","저는 보통"
"577","여행 계획을 쪼금","여행 계획을 쪼금"
"578","일단 비행기 잡고","일단 비행기 잡고"
"579","그리고 숙박은 보통 저는 가서 잡는 경우도 많아요 왜냐면 게스트 하우스니까 그냥","그리고 숙박은 보통 저는 가서 잡는 경우도 많아요 왜냐면 게스트 하우스니까 그냥"
"580","돌아댕기다가 이제 잘 때 되면은","돌아다니다가 이제 잘 때 되면은"
"581","잡아서 들어가고","잡아서 들어가고"
"582","그러고 보통 저는 한 곳에서 이케 -며- 며칠씩 안 묵거든요.","그리고 보통 저는 한 곳에서 이렇게 -며- 며칠씩 안 묵거든요."
"583","그래서 뭐 하루 이틀 묵고 그다음에 또 옮기고 이런 식으로 하고","그래서 뭐 하루 이틀 묵고 그다음에 또 옮기고 이런 식으로 하고"
"584","(()) 제가 도착한 곳에서 거 주변에 뭐가 있는지 찾아봐요.","(()) 제가 도착한 곳에서 거 주변에 뭐가 있는지 찾아봐요."
"585","아니면 맛집 같은 게 있는지","아니면 맛집 같은 게 있는지"
"586","(()) 물어보거나","(()) 물어보거나"
"587","원래 올해 코로나가 없었으면 여행을 갈 계획이 있었나요?","원래 올해 코로나가 없었으면 여행을 갈 계획이 있었나요?"
"588","네 계획이 있었습니다.","네 계획이 있었습니다."
"589","음~ 일단 가장 큰 계획은 친구랑 뉴욕 가는 미국 뉴욕 가서 뉴욕에서만","음~ 일단 가장 큰 계획은 친구랑 뉴욕 가는 미국 뉴욕 가서 뉴욕에서만"
"590","음~ 약 한 달 정도 체류해보는 게 목표였는데","음~ 약 한 달 정도 체류해보는 게 목표였는데"
"591","그게 무산이 돼 버렸잖아요 그래서 꿩 대신 닭으로 제주도를 갔습니다.","그게 무산이 돼 버렸잖아요 그래서 꿩 대신 닭으로 제주도를 갔습니다."
"592","제주도를 가서 어~ 제주도에서 한 달 살기는 예전에 했었고요.","제주도를 가서 어~ 제주도에서 한 달 살기는 예전에 했었고요."
"593","요번에는 삼 박 사 일로 가서 그냥","요번에는 삼 박 사 일로 가서 그냥"
"594","애월 쪽에만 있으면서 바다 정취를 흠뻑 느끼고 왔던 것 같애요.","애월 쪽에만 있으면서 바다 정취를 흠뻑 느끼고 왔던 것 같애요."
"595","(()) 제가 그렇게 여행을 가면서 느낀 게","(()) 제가 그렇게 여행을 가면서 느낀 게"
"596","아 비행기 타는 거는 타도 타도 참 설레구나.","아 비행기 타는 거는 타도 타도 참 설레구나."
"597","라는 생각을 했어요 생각을 했고요.","라는 생각을 했어요 생각을 했고요."
"598","그 점에서","그 점에서"
"599","최근에 어~ 여행사나 해외 여행사에서는 어~","최근에 어~ 여행사나 해외 여행사에서는 어~"
"600","말 그대로 정말 비행기만 타는 체험을 하는 여행 상품을 판매한다고 하더라고요 그~","말 그대로 정말 비행기만 타는 체험을 하는 여행 상품을 판매한다고 하더라고요 그~"
"601","예를 들면 대만 여행사에서는 어~ 한국 여행을 하는데 한국 상공을 그냥 돌고 나온다.","예를 들면 대만 여행사에서는 어~ 한국 여행을 하는데 한국 상공을 그냥 돌고 나온다."
"602","그리고 기내식을 먹는다라는 여행 상품을 판매했는데 그게 불티나게 팔려서","그리고 기내식을 먹는다라는 여행 상품을 판매했는데 그게 불티나게 팔려서"
"603","다 매진이 될 정도였다고 하는데 이런 현상에 대해서는 어떻게 생각하시는지 궁금합니다.","다 매진이 될 정도였다고 하는데 이런 현상에 대해서는 어떻게 생각하시는지 궁금합니다."
"604","음~ 정말 흥미롭네요.","음~ 정말 흥미롭네요."
"605","그게 불티나게 팔린다는 게 저는","그게 불티나게 팔린다는 게 저는"
"606","솔직히 이 저는 솔직히 이해가 안 될 것 같애요 저는 뭐 물론 비행기 타가지고","솔직히 이 저는 솔직히 이해가 안 될 것 같애요 저는 뭐 물론 비행기 타가지고"
"607","비행기 타는 건 좋은데","비행기 타는 건 좋은데"
"608","그 비행기 타는 거에서 좋음이 뭐냐면","그 비행기 타는 거에서 좋음이 뭐냐면"
"609","여행을 하러 간다는 기대감에 대해서 좋다고 생각하는 거거든요 (())","여행을 하러 간다는 기대감에 대해서 좋다고 생각하는 거거든요 (())"
"610","출발하기 전에 와 출발한다","출발하기 전에 와 출발한다"
"611","아니면 도착할 때 아 아쉽다","아니면 도착할 때 아 아쉽다"
"612","뭐 이런 느낌 때문에 비행기가 좋지 않을까 생각을 하는데","뭐 이런 느낌 때문에 비행기가 좋지 않을까 생각을 하는데"
